x,y,R,G,B
114,2,15,27,129
115,2,15,27,129
116,2,15,27,129
117,2,15,27,129
118,2,15,27,129
119,2,15,27,129
120,2,15,27,129
121,2,15,27,129
122,2,15,27,129
123,2,15,27,129
124,2,15,27,129
125,2,15,27,129
126,2,15,27,129
127,2,17,26,129
128,2,18,25,131
129,2,18,25,131
130,2,18,25,129
131,2,18,25,129
132,2,18,25,129
133,2,18,26,127
134,2,18,26,127
135,2,18,26,127
136,2,16,24,123
137,2,16,24,123
138,2,16,24,123
139,2,16,24,123
140,2,16,24,122
141,2,16,24,122
142,2,16,24,122
143,2,16,24,122
144,2,15,25,122
145,2,15,25,122
146,2,14,24,121
147,2,14,24,119
148,2,14,23,118
149,2,14,23,116
150,2,16,22,116
151,2,16,23,114
152,2,15,22,112
153,2,15,22,110
154,2,16,22,110
155,2,16,22,108
156,2,15,21,107
157,2,15,21,107
158,2,16,21,105
159,2,15,20,102
160,2,13,19,97
161,2,13,19,93
162,2,13,19,93
163,2,13,20,92
164,2,12,19,91
165,2,12,19,89
166,2,11,18,88
167,2,11,18,86
168,2,10,17,85
169,2,10,18,83
170,2,10,18,81
171,2,9,17,79
172,2,9,17,79
173,2,8,16,78
174,2,8,16,78
175,2,10,16,76
176,2,10,15,71
177,2,10,15,70
178,2,10,15,70
179,2,10,15,70
180,2,9,14,69
181,2,9,15,67
182,2,8,14,66
0,3,8,13,68
1,3,9,15,67
2,3,9,14,69
3,3,9,14,69
4,3,10,15,70
5,3,10,15,71
6,3,10,15,73
7,3,11,15,76
8,3,12,16,77
9,3,12,16,79
10,3,12,16,79
11,3,13,17,81
12,3,13,17,81
13,3,13,16,83
14,3,14,17,84
15,3,13,18,86
16,3,14,18,92
17,3,14,17,94
18,3,15,18,95
19,3,15,18,95
20,3,13,19,97
21,3,14,19,100
22,3,14,19,100
23,3,13,20,101
24,3,15,21,105
25,3,15,21,105
26,3,14,22,107
27,3,15,23,108
28,3,15,22,110
29,3,15,22,110
30,3,14,24,111
31,3,14,24,113
32,3,14,23,114
33,3,14,23,116
34,3,15,24,117
35,3,15,24,117
36,3,15,24,119
37,3,16,25,120
38,3,16,25,120
39,3,16,25,120
40,3,16,24,122
41,3,16,24,122
42,3,17,25,123
43,3,17,25,124
44,3,17,25,124
45,3,18,26,125
46,3,18,26,127
47,3,17,27,125
48,3,14,26,126
49,3,15,27,125
50,3,15,27,127
51,3,15,27,127
52,3,16,28,128
53,3,16,28,130
54,3,16,28,130
55,3,17,29,131
56,3,18,30,132
57,3,18,29,134
58,3,18,29,134
59,3,18,29,134
60,3,18,29,135
61,3,18,29,135
62,3,18,29,135
63,3,18,29,137
64,3,18,30,142
65,3,18,30,142
66,3,18,29,144
67,3,18,30,142
68,3,18,29,144
69,3,18,30,142
70,3,18,29,144
71,3,18,30,142
72,3,18,29,144
73,3,18,30,142
74,3,18,29,144
75,3,18,30,142
76,3,18,29,144
77,3,18,30,142
78,3,18,29,144
79,3,18,29,144
80,3,19,30,146
81,3,19,30,146
82,3,19,30,146
83,3,19,30,146
84,3,19,30,146
85,3,19,30,146
86,3,19,30,146
87,3,19,30,146
88,3,18,29,145
89,3,18,29,145
90,3,18,29,145
91,3,18,29,145
92,3,18,29,145
93,3,18,29,145
94,3,18,29,145
95,3,18,29,145
96,3,18,28,141
97,3,18,28,139
98,3,18,28,141
99,3,18,28,139
100,3,18,28,139
101,3,18,28,139
102,3,18,28,139
103,3,18,29,137
104,3,17,28,136
105,3,17,28,134
106,3,17,28,134
107,3,17,28,134
108,3,17,28,134
109,3,17,28,133
110,3,17,28,133
111,3,17,28,133
112,3,16,27,132
113,3,16,28,130
114,3,16,27,132
115,3,16,28,130
116,3,16,27,132
117,3,16,28,130
118,3,16,27,132
119,3,16,28,130
120,3,16,27,132
121,3,16,28,130
122,3,16,27,132
123,3,16,28,130
124,3,16,27,132
125,3,16,28,130
126,3,16,27,132
127,3,16,27,132
128,3,18,27,132
129,3,19,26,132
130,3,19,26,132
131,3,19,26,130
132,3,19,26,130
133,3,19,26,130
134,3,19,26,130
135,3,19,27,128
136,3,17,25,126
137,3,17,25,124
138,3,17,25,124
139,3,17,25,124
140,3,17,25,124
141,3,17,25,123
142,3,17,25,124
143,3,17,25,123
144,3,15,25,123
145,3,15,25,122
146,3,15,25,122
147,3,14,24,121
148,3,15,23,121
149,3,15,24,119
150,3,16,22,118
151,3,16,22,116
152,3,16,23,114
153,3,16,23,113
154,3,16,21,112
155,3,16,22,110
156,3,16,22,110
157,3,15,21,107
158,3,16,20,107
159,3,16,21,103
160,3,14,19,100
161,3,14,20,96
162,3,14,20,96
163,3,13,19,93
164,3,13,19,93
165,3,13,20,92
166,3,12,19,91
167,3,12,19,89
168,3,11,18,88
169,3,11,18,86
170,3,10,18,83
171,3,10,18,81
172,3,10,18,81
173,3,9,17,79
174,3,9,17,80
175,3,9,18,77
176,3,10,16,74
177,3,11,16,71
178,3,10,15,71
179,3,10,15,70
180,3,10,15,71
181,3,9,14,69
182,3,9,14,69
0,4,8,15,70
1,4,9,16,70
2,4,9,16,71
3,4,9,16,71
4,4,10,17,72
5,4,10,16,74
6,4,10,16,76
7,4,11,17,79
8,4,12,18,80
9,4,12,17,81
10,4,12,17,81
11,4,13,18,84
12,4,13,18,84
13,4,13,18,86
14,4,14,19,87
15,4,14,18,89
16,4,15,18,95
17,4,13,19,97
18,4,14,20,98
19,4,14,20,98
20,4,14,19,100
21,4,15,20,101
22,4,14,21,102
23,4,14,20,104
24,4,15,21,105
25,4,14,22,107
26,4,15,22,110
27,4,15,22,110
28,4,14,24,113
29,4,14,24,113
30,4,14,24,113
31,4,14,23,114
32,4,14,25,117
33,4,14,24,119
34,4,14,24,119
35,4,14,24,119
36,4,15,25,122
37,4,15,25,122
38,4,16,26,123
39,4,16,26,123
40,4,16,26,124
41,4,16,26,124
42,4,17,27,125
43,4,17,26,127
44,4,17,26,127
45,4,18,27,128
46,4,18,27,130
47,4,18,27,128
48,4,15,27,129
49,4,15,27,127
50,4,15,27,129
51,4,16,28,130
52,4,16,28,130
53,4,17,28,133
54,4,17,28,133
55,4,17,28,133
56,4,18,29,134
57,4,18,29,135
58,4,18,29,135
59,4,18,29,135
60,4,18,29,137
61,4,18,29,137
62,4,18,29,137
63,4,18,28,139
64,4,19,30,145
65,4,19,30,145
66,4,19,30,146
67,4,19,30,145
68,4,19,30,146
69,4,19,30,145
70,4,19,30,146
71,4,19,30,145
72,4,19,30,146
73,4,19,30,145
74,4,19,30,146
75,4,19,30,145
76,4,19,30,146
77,4,19,30,145
78,4,19,30,146
79,4,19,30,146
80,4,20,31,147
81,4,20,31,149
82,4,20,31,149
83,4,20,31,149
84,4,20,31,149
85,4,20,31,149
86,4,20,31,149
87,4,20,31,149
88,4,19,30,148
89,4,19,30,148
90,4,19,30,148
91,4,19,30,148
92,4,19,30,148
93,4,19,30,148
94,4,19,30,148
95,4,19,30,146
96,4,18,28,143
97,4,18,28,141
98,4,18,28,143
99,4,18,28,141
100,4,18,28,141
101,4,18,28,139
102,4,18,28,139
103,4,18,28,139
104,4,17,27,138
105,4,17,28,136
106,4,17,28,136
107,4,17,28,136
108,4,17,28,136
109,4,17,28,134
110,4,17,28,134
111,4,17,28,134
112,4,16,27,133
113,4,16,27,132
114,4,16,27,133
115,4,16,27,132
116,4,16,27,133
117,4,16,27,132
118,4,16,27,133
119,4,16,27,132
120,4,16,27,133
121,4,16,27,132
122,4,16,27,133
123,4,16,27,132
124,4,16,27,133
125,4,16,27,132
126,4,16,27,133
127,4,16,27,133
128,4,18,26,133
129,4,18,26,133
130,4,18,26,133
131,4,18,27,132
132,4,18,27,132
133,4,18,27,132
134,4,18,27,132
135,4,18,27,130
136,4,17,26,129
137,4,17,26,127
138,4,17,26,127
139,4,17,26,127
140,4,17,26,127
141,4,17,27,125
142,4,17,26,127
143,4,17,27,125
144,4,16,25,126
145,4,16,26,124
146,4,15,25,123
147,4,15,25,122
148,4,14,24,121
149,4,14,24,119
150,4,15,24,119
151,4,15,24,117
152,4,16,22,116
153,4,16,23,114
154,4,16,23,113
155,4,16,23,111
156,4,16,22,110
157,4,16,22,110
158,4,15,21,109
159,4,15,21,105
160,4,15,20,102
161,4,15,21,99
162,4,15,21,99
163,4,14,20,96
164,4,14,20,96
165,4,14,20,94
166,4,13,19,93
167,4,13,20,92
168,4,12,19,91
169,4,12,19,89
170,4,11,18,86
171,4,11,19,84
172,4,11,19,84
173,4,10,18,81
174,4,10,18,83
175,4,10,18,80
176,4,10,16,76
177,4,10,17,72
178,4,10,16,74
179,4,9,16,71
180,4,9,15,73
181,4,9,16,71
182,4,8,15,70
0,5,9,15,73
1,5,9,15,73
2,5,10,16,74
3,5,10,16,74
4,5,11,17,77
5,5,11,17,77
6,5,11,17,79
7,5,11,16,80
8,5,13,18,82
9,5,13,18,84
10,5,13,18,86
11,5,14,19,87
12,5,14,18,89
13,5,14,18,89
14,5,15,19,90
15,5,15,19,92
16,5,14,20,98
17,5,14,20,98
18,5,15,20,101
19,5,15,20,101
20,5,15,20,101
21,5,15,22,103
22,5,15,21,105
23,5,15,21,107
24,5,15,23,108
25,5,15,22,110
26,5,15,22,110
27,5,16,23,113
28,5,14,24,113
29,5,14,23,114
30,5,15,24,115
31,5,15,24,117
32,5,14,24,119
33,5,14,24,121
34,5,14,24,121
35,5,15,25,123
36,5,15,25,123
37,5,16,26,124
38,5,16,26,124
39,5,16,25,126
40,5,17,26,127
41,5,17,26,127
42,5,17,26,129
43,5,18,27,130
44,5,18,27,130
45,5,19,28,131
46,5,19,28,133
47,5,19,28,133
48,5,15,26,131
49,5,16,27,132
50,5,16,27,132
51,5,16,27,132
52,5,17,28,133
53,5,17,28,134
54,5,17,28,134
55,5,17,28,134
56,5,19,30,138
57,5,19,30,138
58,5,19,30,138
59,5,19,29,140
60,5,19,29,140
61,5,19,29,140
62,5,19,29,140
63,5,18,30,142
64,5,20,31,147
65,5,20,31,147
66,5,20,31,147
67,5,20,31,147
68,5,20,31,147
69,5,20,31,147
70,5,20,31,147
71,5,20,31,147
72,5,20,31,147
73,5,20,31,147
74,5,20,31,147
75,5,20,31,147
76,5,20,31,147
77,5,20,31,147
78,5,20,31,147
79,5,20,31,147
80,5,20,31,149
81,5,20,31,149
82,5,20,31,149
83,5,20,31,149
84,5,20,31,149
85,5,20,31,149
86,5,20,31,149
87,5,20,31,149
88,5,20,31,149
89,5,20,31,149
90,5,20,31,149
91,5,20,31,149
92,5,20,31,149
93,5,20,31,149
94,5,20,31,149
95,5,20,31,149
96,5,19,28,145
97,5,19,29,144
98,5,19,29,144
99,5,19,29,144
100,5,19,29,144
101,5,19,29,142
102,5,19,29,142
103,5,19,29,140
104,5,18,28,141
105,5,18,28,139
106,5,18,28,139
107,5,18,29,137
108,5,18,29,137
109,5,18,29,137
110,5,18,29,137
111,5,18,29,135
112,5,16,27,133
113,5,16,27,133
114,5,16,27,133
115,5,16,27,133
116,5,16,27,133
117,5,16,27,133
118,5,16,27,133
119,5,16,27,133
120,5,16,27,133
121,5,16,27,133
122,5,16,27,133
123,5,16,27,133
124,5,16,27,133
125,5,16,27,133
126,5,16,27,133
127,5,16,27,133
128,5,18,26,133
129,5,18,26,133
130,5,18,26,135
131,5,18,26,133
132,5,18,26,133
133,5,18,27,132
134,5,18,26,133
135,5,18,27,132
136,5,18,27,132
137,5,18,27,130
138,5,18,27,130
139,5,18,27,128
140,5,18,27,130
141,5,18,27,128
142,5,18,27,128
143,5,18,27,128
144,5,16,25,126
145,5,16,25,126
146,5,16,25,126
147,5,15,25,123
148,5,15,25,123
149,5,14,24,121
150,5,15,23,121
151,5,15,24,119
152,5,17,23,119
153,5,17,23,117
154,5,16,23,114
155,5,16,23,113
156,5,17,22,113
157,5,16,22,110
158,5,16,21,112
159,5,16,22,108
160,5,16,21,105
161,5,16,21,102
162,5,16,21,102
163,5,15,21,99
164,5,15,21,99
165,5,15,21,97
166,5,14,20,96
167,5,14,20,94
168,5,13,19,93
169,5,13,20,92
170,5,12,19,89
171,5,12,19,87
172,5,12,19,87
173,5,11,18,86
174,5,11,18,86
175,5,11,19,84
176,5,11,17,79
177,5,11,17,77
178,5,10,16,76
179,5,10,16,76
180,5,9,15,75
181,5,9,15,73
182,5,9,15,73
0,6,10,16,76
1,6,10,16,76
2,6,10,16,76
3,6,11,17,77
4,6,11,17,79
5,6,12,17,81
6,6,12,17,81
7,6,12,17,83
8,6,13,18,86
9,6,14,19,87
10,6,14,18,89
11,6,14,18,89
12,6,15,19,92
13,6,15,19,92
14,6,15,19,92
15,6,15,19,93
16,6,15,20,101
17,6,15,20,101
18,6,15,20,102
19,6,16,21,103
20,6,15,22,103
21,6,15,21,105
22,6,16,22,108
23,6,15,22,110
24,6,15,22,110
25,6,15,22,112
26,6,14,24,113
27,6,14,23,114
28,6,14,23,114
29,6,15,24,117
30,6,14,25,117
31,6,14,24,119
32,6,14,24,122
33,6,15,25,123
34,6,15,25,123
35,6,15,24,125
36,6,16,25,126
37,6,16,25,126
38,6,16,25,126
39,6,16,25,128
40,6,18,27,130
41,6,18,27,130
42,6,18,27,132
43,6,18,27,132
44,6,19,28,133
45,6,19,28,133
46,6,20,28,135
47,6,20,28,135
48,6,16,27,133
49,6,15,28,133
50,6,15,28,133
51,6,16,29,134
52,6,16,29,134
53,6,16,28,136
54,6,17,29,137
55,6,17,29,137
56,6,19,31,141
57,6,19,31,141
58,6,19,31,141
59,6,19,31,143
60,6,19,31,143
61,6,19,31,143
62,6,19,31,143
63,6,19,30,145
64,6,20,31,147
65,6,19,31,149
66,6,19,31,149
67,6,19,31,149
68,6,19,31,149
69,6,19,31,149
70,6,19,31,149
71,6,19,31,149
72,6,19,31,149
73,6,19,31,149
74,6,19,31,149
75,6,19,31,149
76,6,19,31,149
77,6,19,31,149
78,6,19,31,149
79,6,19,31,149
80,6,19,31,151
81,6,19,31,151
82,6,19,31,151
83,6,19,31,151
84,6,19,31,151
85,6,19,31,151
86,6,19,31,151
87,6,19,31,151
88,6,19,31,151
89,6,19,31,151
90,6,19,31,151
91,6,19,31,151
92,6,19,31,151
93,6,19,31,151
94,6,19,31,151
95,6,19,31,149
96,6,19,30,148
97,6,19,30,146
98,6,19,30,146
99,6,19,30,146
100,6,19,30,146
101,6,19,30,145
102,6,19,30,145
103,6,19,31,143
104,6,17,28,143
105,6,17,29,141
106,6,17,29,141
107,6,17,29,139
108,6,17,29,139
109,6,17,29,139
110,6,17,29,139
111,6,17,29,137
112,6,16,28,136
113,6,16,28,136
114,6,16,28,136
115,6,16,28,136
116,6,16,28,136
117,6,16,28,136
118,6,16,28,136
119,6,16,28,136
120,6,16,28,136
121,6,16,28,136
122,6,16,28,136
123,6,16,28,136
124,6,16,28,136
125,6,16,28,136
126,6,16,28,136
127,6,17,28,136
128,6,19,27,136
129,6,19,27,136
130,6,19,27,138
131,6,19,27,136
132,6,19,27,136
133,6,19,27,134
134,6,19,27,136
135,6,19,27,134
136,6,19,27,134
137,6,19,28,133
138,6,19,28,133
139,6,19,28,131
140,6,19,28,133
141,6,19,28,131
142,6,19,28,131
143,6,19,28,131
144,6,14,26,128
145,6,14,26,128
146,6,14,26,128
147,6,14,26,126
148,6,15,24,125
149,6,15,25,123
150,6,15,25,123
151,6,14,24,121
152,6,15,23,121
153,6,15,24,119
154,6,17,23,117
155,6,16,23,114
156,6,16,23,114
157,6,16,23,113
158,6,16,21,113
159,6,16,22,110
160,6,16,22,108
161,6,16,23,104
162,6,15,22,103
163,6,15,22,103
164,6,15,22,103
165,6,14,21,101
166,6,14,21,101
167,6,14,21,99
168,6,12,20,95
169,6,12,20,93
170,6,12,20,93
171,6,12,20,92
172,6,11,19,91
173,6,11,20,89
174,6,11,20,89
175,6,11,18,86
176,6,11,16,80
177,6,11,17,79
178,6,11,17,79
179,6,10,16,78
180,6,10,16,78
181,6,9,15,75
182,6,9,15,75
0,7,10,16,78
1,7,11,17,79
2,7,11,16,80
3,7,11,16,80
4,7,12,17,83
5,7,12,17,83
6,7,12,17,85
7,7,12,17,85
8,7,14,18,89
9,7,14,18,91
10,7,14,18,91
11,7,15,19,93
12,7,15,18,95
13,7,15,18,95
14,7,16,19,96
15,7,14,20,98
16,7,15,20,102
17,7,15,20,102
18,7,16,21,105
19,7,15,21,105
20,7,15,21,105
21,7,16,22,108
22,7,15,22,110
23,7,15,22,112
24,7,15,22,112
25,7,13,22,113
26,7,14,23,114
27,7,14,23,116
28,7,15,24,117
29,7,15,24,119
30,7,14,24,119
31,7,14,24,121
32,7,15,24,125
33,7,15,24,127
34,7,15,24,127
35,7,15,24,127
36,7,16,25,128
37,7,16,25,130
38,7,16,25,130
39,7,17,26,131
40,7,18,26,133
41,7,18,26,133
42,7,18,26,133
43,7,19,27,136
44,7,19,27,136
45,7,20,28,137
46,7,20,28,137
47,7,18,29,137
48,7,15,27,135
49,7,15,27,137
50,7,15,27,137
51,7,16,28,138
52,7,16,28,138
53,7,17,29,139
54,7,17,29,141
55,7,17,29,141
56,7,19,31,143
57,7,19,30,145
58,7,19,30,145
59,7,19,30,145
60,7,19,30,146
61,7,19,30,146
62,7,19,30,146
63,7,19,30,146
64,7,20,32,150
65,7,20,32,152
66,7,20,32,152
67,7,20,32,152
68,7,20,32,152
69,7,20,32,152
70,7,20,32,152
71,7,20,32,152
72,7,20,32,152
73,7,20,32,152
74,7,20,32,152
75,7,20,32,152
76,7,20,32,152
77,7,20,32,152
78,7,20,32,152
79,7,20,32,152
80,7,19,31,151
81,7,19,31,151
82,7,19,31,151
83,7,19,31,151
84,7,19,31,151
85,7,19,31,151
86,7,19,31,151
87,7,19,31,151
88,7,20,32,152
89,7,20,32,152
90,7,20,32,152
91,7,20,32,152
92,7,20,32,152
93,7,20,32,152
94,7,20,32,152
95,7,20,32,152
96,7,19,29,150
97,7,19,30,148
98,7,19,30,148
99,7,19,30,148
100,7,19,30,148
101,7,19,30,146
102,7,19,30,146
103,7,19,30,145
104,7,17,28,144
105,7,17,28,143
106,7,17,28,143
107,7,17,29,141
108,7,17,29,141
109,7,17,29,141
110,7,17,29,141
111,7,17,29,139
112,7,16,28,138
113,7,16,28,138
